2026.09.17 10:04:10 WARN  Using H2 2.5.250 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2026.09.17 10:04:11 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\build.sbt. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:04:13 WARN  Could not find semantic tokens for: file:///C:/Users/AlumnoM_AI/Desktop/Clases/17-09-2026/borradores/Parte3_proyectoscala/torneo-twenty-one/build.sbt
2026.09.17 10:05:26 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:05:26 WARN  Could not find semantic tokens for: file:///C:/Users/AlumnoM_AI/Desktop/Clases/17-09-2026/borradores/Parte3_proyectoscala/torneo-twenty-one/src/main/scala/Main.scala
2026.09.17 10:05:50 WARN  no build target for: C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\build.sbt
2026.09.17 10:05:50 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\build.sbt. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:05:50 WARN  Could not find semantic tokens for: file:///C:/Users/AlumnoM_AI/Desktop/Clases/17-09-2026/borradores/Parte3_proyectoscala/torneo-twenty-one/build.sbt
2026.09.17 10:05:50 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\build.sbt. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:05:50 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\build.sbt. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:05:51 WARN  no build target for: C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\build.sbt
2026.09.17 10:05:51 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\build.sbt. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:05:51 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\build.sbt. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:05:51 WARN  Could not find semantic tokens for: file:///C:/Users/AlumnoM_AI/Desktop/Clases/17-09-2026/borradores/Parte3_proyectoscala/torneo-twenty-one/build.sbt
2026.09.17 10:06:07 WARN  no build target for: C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala
2026.09.17 10:06:07 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:07 WARN  Could not find semantic tokens for: file:///C:/Users/AlumnoM_AI/Desktop/Clases/17-09-2026/borradores/Parte3_proyectoscala/torneo-twenty-one/src/main/scala/Main.scala
2026.09.17 10:06:09 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:09 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:09 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:09 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:09 WARN  Could not find semantic tokens for: file:///C:/Users/AlumnoM_AI/Desktop/Clases/17-09-2026/borradores/Parte3_proyectoscala/torneo-twenty-one/src/main/scala/Main.scala
2026.09.17 10:06:09 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:09 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:09 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:09 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:09 WARN  Could not find semantic tokens for: file:///C:/Users/AlumnoM_AI/Desktop/Clases/17-09-2026/borradores/Parte3_proyectoscala/torneo-twenty-one/src/main/scala/Main.scala
2026.09.17 10:06:09 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:09 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:10 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:10 WARN  Could not find semantic tokens for: file:///C:/Users/AlumnoM_AI/Desktop/Clases/17-09-2026/borradores/Parte3_proyectoscala/torneo-twenty-one/src/main/scala/Main.scala
2026.09.17 10:06:10 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:10 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:10 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:10 WARN  Could not find semantic tokens for: file:///C:/Users/AlumnoM_AI/Desktop/Clases/17-09-2026/borradores/Parte3_proyectoscala/torneo-twenty-one/src/main/scala/Main.scala
2026.09.17 10:06:10 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:10 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:10 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:10 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:11 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:10 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:11 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:11 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:11 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:11 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:13 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:13 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:13 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:13 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:13 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:13 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:13 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:13 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:13 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:14 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:14 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:14 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:14 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:14 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:14 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:14 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:15 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:15 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:15 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:15 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:15 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:15 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:16 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
